158,176,255,	
152,175,252,	
147,175,250,
140,174,246,
135,173,244,
128,172,241,
123,172,238,
116,170,235,	
108,169,230,
103,168,227,
96,165,223,
91,164,219,
84,160,213,
79,158,209,
72,154,202,
67,149,195,
63,146,190,
59,141,183,
56,137,178,
53,132,170,
50,126,163,
48,122,158,
45,117,151,
44,113,146,
41,107,139,
40,104,134,
38,98,127,
36,93,120,
34,89,115,
32,84,108,
31,80,104,
29,75,97,
28,71,92,
26,66,86,
24,61,79,
23,58,75,
21,53,68,
20,50,64,
19,45,58,
18,42,54,
17,38,48,
17,33,42,
16,31,38,
17,27,33,
17,25,30,
17,21,25,
17,19,23,
19,17,18,
21,14,14,
23,13,11,
26,12,8,
28,11,6,
32,11,4,
35,12,2,
37,12,1,
40,13,1,
43,14,1,
47,14,0,
49,15,0,
53,16,0,
57,17,0,
60,17,1,
65,18,1,
68,19,1,
72,21,2,
75,22,2,
80,24,3,
86,26,5,
89,28,7,
95,31,10,
99,33,12,
106,37,16,	
110,40,19,	
117,45,23,	
123,50,28,	
128,54,32,	
134,59,38,	
138,63,42,	
144,68,48,	
148,72,52,	
154,77,59,	
160,83,65,	
164,87,70,	
170,92,76,	
174,96,81,	
180,102,88,	
186,107,95,	
190,111,99,	
196,117,106,	
200,121,111,	
206,127,118,	
210,131,122,	
217,137,130,	
223,143,137,	
227,147,142,	
234,153,149,	
238,157,154,	
244,163,161,	
249,167,166,	
255,173,173	
